frame,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,right_ankle_angle,left_ankle_angle,back_angle,neck_angle,symmetry_diff,stance_width,phase,exc_type,form,accuracy,correction_needed
11,168.2805078378221,163.16149217765994,67.12031180138922,57.54161858078486,173.24266796162368,176.8136915302529,177.405545000988,174.0573886417017,102.98313488591725,105.5573821423454,68.67112033939947,49.18241855316326,4.838227213022044,0.0453985426566516,end,pushup,good,90,None
12,171.94211456047069,154.57035998443024,69.437705495517,54.387455660437475,169.4669014146753,175.47410625981064,174.88630280346322,172.69268500300737,104.18387563194794,106.36409411303644,68.1597330495577,47.965663138716494,8.56060910755993,0.04311791501939899,end,pushup,good,94,None
1,168.31872311025683,172.32675778604093,59.36353987898509,55.021500527632654,163.70702949514393,166.8499795726182,170.09347095421552,166.9826927664,126.37417365986764,129.216662049915,65.66319925858438,79.28970949737246,3.489258136494736,0.030304767935442914,start,pushup,good,97,None
2,169.78026261251063,174.9248492969929,58.89884704487467,57.49292520541204,164.24535359202878,165.464113336508,174.08714751894465,168.87972619861324,127.81412914223031,128.57108660494555,66.00530360782737,71.90998321948719,2.7467294102941553,0.02975832831099615,start,pushup,good,92,None
3,173.9570719659158,178.62176951109834,62.27161482079434,60.04745775954516,163.844382030971,167.21202959686875,175.66428620740032,172.38293357812677,117.28017400742381,119.4968643879627,67.4562765637056,81.6261496886532,3.1509090364283865,0.029247997707676544,start,pushup,good,97,None
4,175.4065620158178,177.0747430820605,59.30718287884305,59.16255497455238,168.1652326758569,165.2263153441249,171.7835085711776,166.3230043942154,106.30993012303051,109.00050964215333,65.65824011063789,87.67590413332681,2.580561999670084,0.030861353114221852,start,pushup,good,90,None
5,174.9086322567796,175.224679010743,56.749871878985246,57.191719344798976,171.05287945403913,165.23658664766035,171.0993073433784,164.69508079946633,104.24671297937813,106.66565492823854,64.24711511500668,82.81097461915651,3.079471103785674,0.03006133160598448,mid,pushup,good,93,None
6,174.403057207106,172.00121832056234,56.3763628266443,54.742295745210455,172.8861962610986,167.18033516074948,172.9483547892697,166.65818013119608,109.1278430189204,110.95354572401367,64.00104673010897,74.81560519750961,3.5715288862987036,0.028162744669359974,mid,pushup,good,91,None
7,132.11348033714236,140.12304647034537,29.85236137578623,28.40524634506404,178.49621308680187,173.99051955333147,175.6176902655884,173.33882968274398,102.88354566234358,104.5039482413013,67.39445191819172,45.24552590188197,3.572327571839552,0.03682102075667216,mid,pushup,good,94,None
8,69.7040120033026,72.0597970700687,28.363045012215437,33.10467006875319,167.03481653280585,161.47016136096067,169.7606064684287,174.65588898328312,85.65376630435063,92.86795158619825,70.83019947163037,70.17189431164023,4.954306618370213,0.04801630390898907,mid,pushup,good,100,None
