frame,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,hip_angle,knee_angle,phase,label,form
17,175.07954085561914,174.6180766368706,63.24833955715259,59.66461977345818,164.67151716373527,177.52120635745976,start,pushups,good
18,175.17906758143738,174.62103994455322,63.81629527142096,59.84639300410254,162.8727631978134,175.16598302433064,start,pushups,good
19,175.21379829625155,174.7682583314663,64.7233348212915,60.19287341371196,159.28322815150406,169.79668907328983,start,pushups,good
20,175.5534414344104,174.8470348848927,65.66068689267978,60.67415933485052,155.3871225964173,163.21353103434,start,pushups,good
21,176.1268953552724,174.99143802623536,66.37240790780508,60.4775947874161,156.75462749261715,164.53480924200454,start,pushups,good
22,176.42022836935817,175.13137144060087,66.25381192844945,60.1911186973953,157.79777143356492,165.29098067267032,start,pushups,good
23,176.50387902081582,174.99837115030715,65.8777540472981,59.85647392982272,158.8795834204108,166.05018735553915,start,pushups,good
24,175.98407575110826,175.5504980513924,64.66638245271916,59.535812138945566,160.96118271001677,167.07575982919437,start,pushups,good
25,175.7319140029674,175.92991293496905,63.43493681274973,59.20004557848497,163.3568590948598,168.83196390416893,start,pushups,good
26,175.68659986178668,175.98611177820652,62.53687682493671,58.7618932908574,165.30664522097885,170.40824410686568,start,pushups,good
27,175.5681860729292,176.02973701850246,61.67906665351024,58.23816586382608,166.964632241699,171.6766520028613,start,pushups,good
28,175.55953904980862,175.88011774544282,60.96085134568104,57.45155335103812,168.42240719826688,172.60706891800928,start,pushups,good
29,175.48381004505174,175.53821534997766,60.25334027577146,56.6298494160288,169.64180769206644,173.1880701099254,start,pushups,good
30,175.4762576279279,175.4447281283743,59.7440297810096,56.08612203383973,170.44162662756528,173.46399011160307,start,pushups,good
31,175.5903362075127,175.2036404676516,59.12360374076962,55.34384255861466,171.62578635743944,174.00504417705432,start,pushups,good
32,175.85691149254578,175.02204763698003,58.73669430378884,54.61086799728121,172.31595182011287,173.85452781519007,start,pushups,good
33,176.06631385008458,174.98017811141804,58.09716346186378,53.90916763343958,173.65303473083094,174.28974790220164,start,pushups,good
34,176.1280978790223,174.8897637426812,57.53355667373493,53.21532133192994,174.63156040292338,174.43490524860042,start,pushups,good
35,176.0418457878519,174.72679842587013,56.81974654080961,52.41762159709671,175.5844302722163,174.19387664665854,start,pushups,good
36,175.95417944547086,174.68122875111007,56.27827745283013,51.94501777995699,175.86074909336386,173.50339801570968,start,pushups,good
37,175.9322875990457,174.3175418352046,55.82499134417243,51.376197357488365,176.14234463358375,173.07526237571656,start,pushups,good
38,175.92222042940264,174.19058277234393,55.46260829425374,51.04338411026529,176.52912973247308,172.8900034712308,start,pushups,good
39,175.80890692005593,174.16383876380576,54.92907068868323,50.73599393329441,177.19886383763514,173.30761991701894,start,pushups,good
40,175.6503381469713,173.94222831793385,54.50796962141407,50.41008401283708,177.77563186733872,173.5542348052682,start,pushups,good
41,175.47968677611505,173.53100308694533,54.23715609632772,50.04413968583544,177.75231448647563,173.141325770916,start,pushups,good
42,175.40238810816277,173.12007271709186,53.956554505534505,49.5164646137335,177.72142997028124,172.61241599498126,start,pushups,good
43,175.35931232161676,172.7892874728845,53.78174705607825,49.12081565749549,177.80760893325655,172.50131148273616,start,pushups,good
44,175.3307050075871,172.7510493848344,53.68249972979949,48.86421779470623,177.90863088485972,172.5590140389295,start,pushups,good
45,175.35578136489352,172.68107654358167,53.60645783910058,48.65442922976829,177.9893430043179,172.47579540830398,start,pushups,good
46,175.3517047299602,172.62556145718872,53.53692218824551,48.45999895779351,177.96844893849416,172.19678875692742,start,pushups,good
47,175.33048532304724,172.5221294978304,53.47137209186311,48.33081590228761,177.92732744322788,171.92759299937515,start,pushups,good
48,175.37547723848826,172.43087254478445,53.442227360592106,48.21769685733412,177.88832956090386,171.63060379813575,start,pushups,good
49,175.38946283032604,172.3781660877976,53.38100608664663,48.05710327543687,177.86832972882226,171.3504073536785,start,pushups,good
50,175.3774220026578,172.3238350261125,53.32219479745027,47.90685354228427,177.9685818777064,171.53209649332103,start,pushups,good
51,175.33721134345012,172.25847740222386,53.26575722876658,47.73383773430812,178.0562400878893,171.70645602112265,start,pushups,good
52,175.30565725347108,172.17991264772067,53.22387520174191,47.60308629576488,178.14852572841147,171.8355577214342,start,pushups,good
53,175.27773284027268,172.1238978494671,53.193622530998645,47.56124326315879,178.17986894412306,171.86834486288708,start,pushups,good
54,175.14039828803217,172.02559174278517,53.10335310584189,47.5095755767056,178.20322222594578,171.88689736345682,start,pushups,good
55,174.90353400582498,171.79709648487253,52.919407448698976,47.22209105537811,178.19762378784455,171.91292388220955,start,pushups,good
56,173.67069525917768,170.74732742529443,52.350094912950894,46.47358669801944,178.05289503707002,171.97317889775226,start,pushups,good
57,171.77466554847456,168.50296275687754,51.459354821761934,45.26341776602079,177.79020139805527,172.06683068213113,start,pushups,good
58,169.19975998066744,166.5375920864921,50.01985768453666,44.0387578525358,178.1569504864396,172.50484245365132,start,pushups,good
59,166.8071254910055,164.11661234232528,49.44581456732982,43.25735438534993,177.74412799127634,172.81901797069028,start,pushups,good
